investor,id_funding,name,sector,industry,subindustry,zip,amount,date
FirstMark Capital,115595,Company 849056,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10003,1.25,5/31/2013
Forerunner Ventures,117331,Company 857676,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,3,2/11/2013
Lerer Ventures,115595,Company 849056,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10003,1.25,5/31/2013
Greycroft Partners,117331,Company 857672,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,3,2/11/2013
500 Startups,126222,Company 905044,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10002,2.2,6/4/2013
Lerer Ventures,126222,Company 905040,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10002,2.2,6/4/2013
SV Angel,117331,Company 857677,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,3,2/11/2013
NextView Ventures,126222,Company 905044,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10002,2.2,6/4/2013
Founder Collective,115709,Company 849544,Internet,eCommerce,Food & Grocery,11215,1,2/13/2013
Resolute.vc,126222,Company 905040,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10002,2.2,6/4/2013
SV Angel,115709,Company 849541,Internet,eCommerce,Food & Grocery,11215,1,2/13/2013
SV Angel,126222,Company 905047,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10002,2.2,6/4/2013
500 Startups,118646,Company 776077,Internet,eCommerce,Apparel & Accessories,10018,0.73,2/13/2013
SoftTech VC,126226,Company 905075,Mobile & Telecommunications,Mobile Software & Services,"Billing, Expense Management and Procurement",10002,1.5,6/4/2013
Great Oaks Venture Capital,118646,Company 776079,Internet,eCommerce,Apparel & Accessories,10018,0.73,2/13/2013
500 Startups,126366,Company 905854,Internet,eCommerce,Marketplace,Undisclosed,0.65,6/5/2013
Romulus Capital,118646,Company 776077,Internet,eCommerce,Apparel & Accessories,10018,0.73,2/13/2013
Great Oaks Venture Capital,126366,Company 905856,Internet,eCommerce,Marketplace,Undisclosed,0.65,6/5/2013
SOSventures,118646,Company 776075,Internet,eCommerce,Apparel & Accessories,10018,0.73,2/13/2013
Great Oaks Venture Capital,126506,Company 906559,Mobile & Telecommunications,Mobile Commerce,Digital Goods,Undisclosed,1.8,6/6/2013
Founder Collective,118675,Company 555696,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Liberty City Ventures,126506,Company 906556,Mobile & Telecommunications,Mobile Commerce,Digital Goods,Undisclosed,1.8,6/6/2013
Lerer Ventures,118675,Company 555691,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Rothenberg Ventures,126506,Company 906557,Mobile & Telecommunications,Mobile Commerce,Digital Goods,Undisclosed,1.8,6/6/2013
Reinmkr Capital,118675,Company 555696,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
SV Angel,126506,Company 906557,Mobile & Telecommunications,Mobile Commerce,Digital Goods,Undisclosed,1.8,6/6/2013
Resolute.vc,118675,Company 555692,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Inimiti Capital Partners,126920,Company 908280,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10016,0.6,6/6/2013
Sequoia Capital,118675,Company 555690,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Columbus Nova Technology Partners,117683,Company 859522,Internet,Internet Software & Services,Data & Document Management,10010,0.55,6/14/2013
SV Angel,118675,Company 555698,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Dorm Room Fund,127633,Company 912107,Internet,Internet Software & Services,Web Development,10128,0.02,6/19/2013
Thrive Capital,118675,Company 555690,Internet,Internet Software & Services,Education & Training,10013,0.8,2/18/2013
Contour Venture Partners,127874,Company 913208,Internet,Internet Software & Services,Customer Relationship Management,10013,1.25,6/24/2013
NYU Innovation Venture Fund,119041,Company 866382,Computer Hardware & Services,Specialty Computer Hardware,Point of Sales & Retail Computer Systems,Undisclosed,1,2/19/2013
JumpStart NJ Angel Network,105620,Company 804203,Internet,eCommerce,Marketplace,10013,1,6/28/2013
RSL Venture Partners,119041,Company 866389,Computer Hardware & Services,Specialty Computer Hardware,Point of Sales & Retail Computer Systems,Undisclosed,1,2/19/2013
Golden Seeds,135708,Company 954861,Internet,,,Undisclosed,Undisclosed,6/28/2013
Kima Ventures,119147,Company 866883,Internet,Internet Software & Services,Education & Training,11201,0.15,2/20/2013
Empire Angels,128824,Company 917471,Internet,Internet Software & Services,Social,Undisclosed,1,7/2/2013
FF Angel,118561,Company 864118,Internet,Internet Software & Services,Education & Training,10011,1,2/22/2013
Index Ventures,128824,Company 917475,Internet,Internet Software & Services,Social,Undisclosed,1,7/2/2013
Quotidian Ventures,118561,Company 864116,Internet,Internet Software & Services,Education & Training,10011,1,2/22/2013
MESA+,128824,Company 917470,Internet,Internet Software & Services,Social,Undisclosed,1,7/2/2013
RRE Ventures,118561,Company 864115,Internet,Internet Software & Services,Education & Training,10011,1,2/22/2013
RRE Ventures,128824,Company 917479,Internet,Internet Software & Services,Social,Undisclosed,1,7/2/2013
Vandaele Capital,119645,Company 869526,Internet,eCommerce,Marketplace,Undisclosed,0.5,2/27/2013
Crosslink Capital,119661,Company 869593,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Undisclosed,1.1,2/27/2013
Genacast Ventures,127258,Company 910170,Internet,Internet Software & Services,HR & Workforce Management,10014,0.05,7/3/2013
Bing Fund,119711,Company 548052,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10016,Undisclosed,2/28/2013
Blue Ridge Foundation,128934,Company 918048,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10022,1,7/3/2013
Founder Collective,114931,Company 752901,Internet,Internet Software & Services,Social,11237,0.9,3/1/2013
Ludlow Ventures,124387,Company 584202,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10010,1.5,7/9/2013
O'Reilly AlphaTech Ventures,114931,Company 752900,Internet,Internet Software & Services,Social,11237,0.9,3/1/2013
Quotidian Ventures,124387,Company 584201,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10010,1.5,7/9/2013
Golden Seeds,126699,Company 275061,Internet,eCommerce,"Music, Video, Books & Entertainment",10014,Undisclosed,3/1/2013
Scout Ventures,124387,Company 584205,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10010,1.5,7/9/2013
iNovia Capital,119726,Company 870015,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
Kite Ventures,129575,Company 921319,Internet,Stealth Mode,,10011,0.25,7/10/2013
Laconia Ventures,119726,Company 870014,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
New Science Ventures,129987,Company 923677,Electronics,Chips & Semiconductors,,10027,0.5,7/15/2013
Liberty City Ventures,119726,Company 870015,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
General Catalyst Partners,129994,Company 923721,Software (non-internet/mobile),Stealth Mode,,10012,2.64,7/15/2013
MESA+,119726,Company 870015,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
Lerer Ventures,129994,Company 923724,Software (non-internet/mobile),Stealth Mode,,10012,2.64,7/15/2013
NextView Ventures,119726,Company 870015,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
Contour Venture Partners,130092,Company 830154,Internet,Internet Software & Services,Accounting & Finance,10003,2,7/16/2013
High Peaks Venture Partners,130092,Company 830151,Internet,Internet Software & Services,Accounting & Finance,10003,2,7/16/2013
Social Internet Fund,119726,Company 870012,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
Lerer Ventures,130092,Company 830159,Internet,Internet Software & Services,Accounting & Finance,10003,2,7/16/2013
